severity,type,id,detail,files
High,MissingFields,"sec-07-ui - ui-ux (devices, hud, menus)-s01","Missing: chapter, pov, location","sec-07-ui - ui-ux (devices, hud, menus)"
High,MissingFields,sec-08-artaudio - art direction & audio-s01,"Missing: chapter, pov, location",sec-08-artaudio - art direction & audio
High,MissingFields,sec-09-tech - technology & performance targets-s01,"Missing: chapter, pov, location",sec-09-tech - technology & performance targets
High,MissingFields,sec-10-production - production plan & milestones-s01,"Missing: chapter, pov, location",sec-10-production - production plan & milestones
High,MissingFields,"sec-11-qa - qa, localization, accessibility-s01","Missing: chapter, pov, location","sec-11-qa - qa, localization, accessibility"
High,MissingFields,"sec-12-risks - risks, legal, ratings-s01","Missing: chapter, pov, location","sec-12-risks - risks, legal, ratings"
High,MissingFields,sec-13-appendices - appendices-s01,"Missing: chapter, pov, location",sec-13-appendices - appendices
High,MissingFields,sec-14-qa - quality assurance test plan-s01,"Missing: chapter, pov, location",sec-14-qa - quality assurance test plan
High,MissingFields,diplomagic_gdd_combined-s01,"Missing: chapter, pov, location",diplomagic_gdd_combined
High,MissingFields,sec-01-front - front matter & executive summary-s01,"Missing: chapter, pov, location",sec-01-front - front matter & executive summary
High,MissingFields,sec-02-pillars - pillars & audience-s01,"Missing: chapter, pov, location",sec-02-pillars - pillars & audience
High,MissingFields,sec-03-narrative - narrative-s01,"Missing: chapter, pov, location",sec-03-narrative - narrative
High,MissingFields,sec-03_3.2_chapter_list_replace-s01,"Missing: chapter, pov, date, location",sec-03_3.2_chapter_list_replace
High,MissingFields,sec-04-loops - core gameplay loops-s01,"Missing: chapter, pov, location",sec-04-loops - core gameplay loops
High,MissingFields,sec-05-systems - systems & mechanics-s01,"Missing: chapter, pov, location",sec-05-systems - systems & mechanics
High,MissingFields,"sec-06-world - world, levels, & content-s01","Missing: chapter, pov, location","sec-06-world - world, levels, & content"
High,MissingFields,"sec-07-ui - ui-ux (devices, hud, menus)-s01","Missing: chapter, pov, location","sec-07-ui - ui-ux (devices, hud, menus)"
High,MissingFields,sec-08-artaudio - art direction & audio-s01,"Missing: chapter, pov, location",sec-08-artaudio - art direction & audio
High,MissingFields,sec-09-tech - technology & performance targets-s01,"Missing: chapter, pov, location",sec-09-tech - technology & performance targets
High,MissingFields,sec-10-production - production plan & milestones-s01,"Missing: chapter, pov, location",sec-10-production - production plan & milestones
High,MissingFields,"sec-11-qa - qa, localization, accessibility-s01","Missing: chapter, pov, location","sec-11-qa - qa, localization, accessibility"
High,MissingFields,"sec-12-risks - risks, legal, ratings-s01","Missing: chapter, pov, location","sec-12-risks - risks, legal, ratings"
High,MissingFields,sec-13-appendices - appendices-s01,"Missing: chapter, pov, location",sec-13-appendices - appendices
High,MissingFields,sec-14-qa - quality assurance test plan-s01,"Missing: chapter, pov, location",sec-14-qa - quality assurance test plan
High,MissingFields,diplomagic_gdd_combined-s01,"Missing: chapter, pov, location",diplomagic_gdd_combined
High,MissingFields,sec-01-front - front matter & executive summary-s01,"Missing: chapter, pov, location",sec-01-front - front matter & executive summary
High,MissingFields,sec-02-pillars - pillars & audience-s01,"Missing: chapter, pov, location",sec-02-pillars - pillars & audience
High,MissingFields,sec-03-narrative - narrative-s01,"Missing: chapter, pov, location",sec-03-narrative - narrative
High,MissingFields,sec-03_3.2_chapter_list_replace-s01,"Missing: chapter, pov, date, location",sec-03_3.2_chapter_list_replace
High,MissingFields,sec-04-loops - core gameplay loops-s01,"Missing: chapter, pov, location",sec-04-loops - core gameplay loops
High,MissingFields,sec-05-systems - systems & mechanics-s01,"Missing: chapter, pov, location",sec-05-systems - systems & mechanics
High,MissingFields,"sec-06-world - world, levels, & content-s01","Missing: chapter, pov, location","sec-06-world - world, levels, & content"
High,MissingFields,"sec-07-ui - ui-ux (devices, hud, menus)-s01","Missing: chapter, pov, location","sec-07-ui - ui-ux (devices, hud, menus)"
High,MissingFields,sec-08-artaudio - art direction & audio-s01,"Missing: chapter, pov, location",sec-08-artaudio - art direction & audio
High,MissingFields,sec-09-tech - technology & performance targets-s01,"Missing: chapter, pov, location",sec-09-tech - technology & performance targets
High,MissingFields,sec-10-production - production plan & milestones-s01,"Missing: chapter, pov, location",sec-10-production - production plan & milestones
High,MissingFields,"sec-11-qa - qa, localization, accessibility-s01","Missing: chapter, pov, location","sec-11-qa - qa, localization, accessibility"
High,MissingFields,"sec-12-risks - risks, legal, ratings-s01","Missing: chapter, pov, location","sec-12-risks - risks, legal, ratings"
High,MissingFields,sec-13-appendices - appendices-s01,"Missing: chapter, pov, location",sec-13-appendices - appendices
High,MissingFields,sec-14-qa - quality assurance test plan-s01,"Missing: chapter, pov, location",sec-14-qa - quality assurance test plan
High,MissingFields,diplomagic_gdd_combined-s01,"Missing: chapter, pov, location",diplomagic_gdd_combined
High,MissingFields,sec-01-front - front matter & executive summary-s01,"Missing: chapter, pov, location",sec-01-front - front matter & executive summary
High,MissingFields,sec-02-pillars - pillars & audience-s01,"Missing: chapter, pov, location",sec-02-pillars - pillars & audience
High,MissingFields,sec-03-narrative - narrative-s01,"Missing: chapter, pov, location",sec-03-narrative - narrative
High,MissingFields,sec-03_3.2_chapter_list_replace-s01,"Missing: chapter, pov, date, location",sec-03_3.2_chapter_list_replace
High,MissingFields,sec-04-loops - core gameplay loops-s01,"Missing: chapter, pov, location",sec-04-loops - core gameplay loops
High,MissingFields,sec-05-systems - systems & mechanics-s01,"Missing: chapter, pov, location",sec-05-systems - systems & mechanics
High,MissingFields,"sec-06-world - world, levels, & content-s01","Missing: chapter, pov, location","sec-06-world - world, levels, & content"
High,MissingFields,"sec-07-ui - ui-ux (devices, hud, menus)-s01","Missing: chapter, pov, location","sec-07-ui - ui-ux (devices, hud, menus)"
High,MissingFields,sec-08-artaudio - art direction & audio-s01,"Missing: chapter, pov, location",sec-08-artaudio - art direction & audio
High,MissingFields,sec-09-tech - technology & performance targets-s01,"Missing: chapter, pov, location",sec-09-tech - technology & performance targets
High,MissingFields,sec-10-production - production plan & milestones-s01,"Missing: chapter, pov, location",sec-10-production - production plan & milestones
High,MissingFields,"sec-11-qa - qa, localization, accessibility-s01","Missing: chapter, pov, location","sec-11-qa - qa, localization, accessibility"
High,MissingFields,"sec-12-risks - risks, legal, ratings-s01","Missing: chapter, pov, location","sec-12-risks - risks, legal, ratings"
High,MissingFields,sec-13-appendices - appendices-s01,"Missing: chapter, pov, location",sec-13-appendices - appendices
High,MissingFields,sec-14-qa - quality assurance test plan-s01,"Missing: chapter, pov, location",sec-14-qa - quality assurance test plan
High,MissingFields,spawn_tables_prologue_ch1-s01,"Missing: chapter, pov, location",spawn_tables_prologue_ch1
High,MissingFields,enemy_cultist-s01,"Missing: chapter, pov, location",enemy_cultist
High,MissingFields,enemy_mind_swapped_civilian-s01,"Missing: chapter, pov, location",enemy_mind_swapped_civilian
High,MissingFields,enemy_new_kadathi_cultist-s01,"Missing: chapter, pov, location",enemy_new_kadathi_cultist
High,MissingFields,enemy_spectral_entity-s01,"Missing: chapter, pov, location",enemy_spectral_entity
High,MissingFields,schema_statblock-s01,"Missing: chapter, pov, location",schema_statblock
High,MissingFields,adversary & npc systems — dashboard-s01,"Missing: chapter, pov, location",adversary & npc systems — dashboard
High,MissingFields,enemy systems department — notes.stub-s01,"Missing: chapter, pov, location",enemy systems department — notes.stub
High,MissingFields,statblocks & enemies department — charter.stub-s01,"Missing: chapter, pov, location",statblocks & enemies department — charter.stub
High,MissingFields,qa & ux — dashboard-s01,"Missing: chapter, pov, location",qa & ux — dashboard
High,MissingFields,archive_process_guide-s01,"Missing: chapter, pov, location",archive_process_guide
High,MissingFields,outline_2025-s01,"Missing: chapter, pov, location",outline_2025
High,MissingFields,playbook-s01,"Missing: chapter, pov, location",playbook
High,MissingFields,steam_ops_charter_20250817-s01,"Missing: chapter, pov, location",steam_ops_charter_20250817
High,MissingFields,steam_ops_dashboard_20250817-s01,"Missing: chapter, pov, location",steam_ops_dashboard_20250817
High,MissingFields,ch1-s01,"Missing: chapter, pov, date, location",ch1
High,MissingFields,ch2-s01,"Missing: chapter, pov, date, location",ch2
High,MissingFields,ch2_avery_infiltration-s01,"Missing: chapter, pov, date, location",ch2_avery_infiltration
High,MissingFields,ch2_clara_kadath-s01,"Missing: chapter, pov, date, location",ch2_clara_kadath
High,MissingFields,ch3_avery_suspended_daycare_spectral-s01,"Missing: chapter, pov, date, location",ch3_avery_suspended_daycare_spectral
High,MissingFields,ch3_clara_reddy_kadath_scavengers-s01,"Missing: chapter, pov, date, location",ch3_clara_reddy_kadath_scavengers
High,MissingFields,ch4_convergence_rework-s01,"Missing: chapter, pov, date, location",ch4_convergence_rework
High,MissingFields,ch4_kadath_city_rework-s01,"Missing: chapter, pov, date, location",ch4_kadath_city_rework
High,MissingFields,ch5_dlamp_betsy_rework-s01,"Missing: chapter, pov, date, location",ch5_dlamp_betsy_rework
High,MissingFields,ch5_dlamp_ironhighway_underground-s01,"Missing: chapter, pov, date, location",ch5_dlamp_ironhighway_underground
High,MissingFields,ch5_rework_nyfo_warrant_betsy-s01,"Missing: chapter, pov, date, location",ch5_rework_nyfo_warrant_betsy
High,MissingFields,ch6_raid_summary_index-s01,"Missing: chapter, pov, date, location",ch6_raid_summary_index
High,MissingFields,ch6_srs_apocalypse_narrative-s01,"Missing: chapter, pov, date, location",ch6_srs_apocalypse_narrative
High,MissingFields,ch7-placeholder-s01,"Missing: chapter, pov, date, location",ch7-placeholder
High,MissingFields,codeowners_snippet_ch5-ch6-s01,"Missing: chapter, pov, date, location",codeowners_snippet_ch5-ch6
High,MissingFields,epilogue-s01,"Missing: chapter, pov, date, location",epilogue
High,MissingFields,manifest_addendum_ch1-s01,"Missing: chapter, pov, location",manifest_addendum_ch1
High,MissingFields,manifest_addendum_ch1_layouts_ui-s01,"Missing: chapter, pov, location",manifest_addendum_ch1_layouts_ui
High,MissingFields,manifest_addendum_sec-03_ch1-s01,"Missing: chapter, pov, location",manifest_addendum_sec-03_ch1
High,MissingFields,manifest_addendum_sec-03_prologues-s01,"Missing: chapter, pov, location",manifest_addendum_sec-03_prologues
High,MissingFields,pr_attachments_ch5-ch6-s01,"Missing: chapter, pov, date, location",pr_attachments_ch5-ch6
High,MissingFields,pr_ch5-ch6_root_merge-s01,"Missing: chapter, pov, date, location",pr_ch5-ch6_root_merge
High,MissingFields,pr_ch7_pack-s01,"Missing: chapter, pov, date, location",pr_ch7_pack
High,MissingFields,pr_change_impact_map_ch5-ch6-s01,"Missing: chapter, pov, date, location",pr_change_impact_map_ch5-ch6
High,MissingFields,pr_checklist_box_ch5-ch6-s01,"Missing: chapter, pov, date, location",pr_checklist_box_ch5-ch6
High,MissingFields,pr_cover_note_ch5-ch6-s01,"Missing: chapter, pov, date, location",pr_cover_note_ch5-ch6
High,MissingFields,pr_crosslinks_assertion_list-s01,"Missing: chapter, pov, date, location",pr_crosslinks_assertion_list
High,MissingFields,pr_diff_review_guide_ch5-ch6-s01,"Missing: chapter, pov, date, location",pr_diff_review_guide_ch5-ch6
High,MissingFields,pr_final_copy_blocks_ch5-ch6-s01,"Missing: chapter, pov, date, location",pr_final_copy_blocks_ch5-ch6
High,MissingFields,pr_followup_issue_bundle_template-s01,"Missing: chapter, pov, date, location",pr_followup_issue_bundle_template
High,MissingFields,pr_github_labels_and_milestones-s01,"Missing: chapter, pov, date, location",pr_github_labels_and_milestones
High,MissingFields,pr_onepager_ch5-ch6-s01,"Missing: chapter, pov, date, location",pr_onepager_ch5-ch6
High,MissingFields,pr_open_runbook_desktop_and_cli-s01,"Missing: chapter, pov, date, location",pr_open_runbook_desktop_and_cli
High,MissingFields,pr_release_notes_ch5-ch6-s01,"Missing: chapter, pov, location",pr_release_notes_ch5-ch6
High,MissingFields,pr_reviewer_comment_templates-s01,"Missing: chapter, pov, date, location",pr_reviewer_comment_templates
High,MissingFields,pr_reviewer_package_ch5-ch6-s01,"Missing: chapter, pov, location",pr_reviewer_package_ch5-ch6
High,MissingFields,pr_squash_merge_plan_ch5-ch6-s01,"Missing: chapter, pov, location",pr_squash_merge_plan_ch5-ch6
High,MissingFields,pr_status_board_ch7-s01,"Missing: chapter, pov, date, location",pr_status_board_ch7
High,MissingFields,pr_template_github_ch5-ch6-s01,"Missing: chapter, pov, location",pr_template_github_ch5-ch6
High,MissingFields,pr_term_glossary_ch5-ch6-s01,"Missing: chapter, pov, date, location",pr_term_glossary_ch5-ch6
High,MissingFields,root_apply_instructions_ch5-ch6-s01,"Missing: chapter, pov, date, location",root_apply_instructions_ch5-ch6
High,MissingFields,root_changelog_ch5-ch6-s01,"Missing: chapter, pov, location",root_changelog_ch5-ch6
High,MissingFields,root_crosslink_map_ch5-ch6-s01,"Missing: chapter, pov, date, location",root_crosslink_map_ch5-ch6
High,MissingFields,root_dependency_graph_ch5-ch6-s01,"Missing: chapter, pov, date, location",root_dependency_graph_ch5-ch6
High,MissingFields,root_diff_checklist_ch5-ch6-s01,"Missing: chapter, pov, date, location",root_diff_checklist_ch5-ch6
High,MissingFields,root_edge_case_decisions_ch5-ch6-s01,"Missing: chapter, pov, date, location",root_edge_case_decisions_ch5-ch6
High,MissingFields,root_endtoend_test_script_ch5-ch6-s01,"Missing: chapter, pov, date, location",root_endtoend_test_script_ch5-ch6
High,MissingFields,root_epilogue_seeds_ch7-s01,"Missing: chapter, pov, date, location",root_epilogue_seeds_ch7
High,MissingFields,root_faq_ch5-ch6_merge-s01,"Missing: chapter, pov, date, location",root_faq_ch5-ch6_merge
High,MissingFields,root_github_desktop_guide_ch5-ch6-s01,"Missing: chapter, pov, date, location",root_github_desktop_guide_ch5-ch6
High,MissingFields,root_internal_playtest_notes_ch5-ch6-s01,"Missing: chapter, pov, location",root_internal_playtest_notes_ch5-ch6
High,MissingFields,root_known_good_lines_ch5-ch6-s01,"Missing: chapter, pov, date, location",root_known_good_lines_ch5-ch6
High,MissingFields,root_link_verification_checklist-s01,"Missing: chapter, pov, date, location",root_link_verification_checklist
High,MissingFields,root_merge_commit_messages-s01,"Missing: chapter, pov, date, location",root_merge_commit_messages
High,MissingFields,root_merge_conflict_resolution_guide-s01,"Missing: chapter, pov, date, location",root_merge_conflict_resolution_guide
High,MissingFields,root_merge_done_checklist-s01,"Missing: chapter, pov, date, location",root_merge_done_checklist
High,MissingFields,root_merge_index_ch5-ch6-s01,"Missing: chapter, pov, date, location",root_merge_index_ch5-ch6
High,MissingFields,root_merge_risk_register-s01,"Missing: chapter, pov, location",root_merge_risk_register
High,MissingFields,root_merge_smoke_checks-s01,"Missing: chapter, pov, date, location",root_merge_smoke_checks
High,MissingFields,root_migration_log_stub-s01,"Missing: chapter, pov, date, location",root_migration_log_stub
High,MissingFields,root_narrative_delta_summary_ch5-ch6-s01,"Missing: chapter, pov, date, location",root_narrative_delta_summary_ch5-ch6
High,MissingFields,root_narrative_tone_style_guide_1994-s01,"Missing: chapter, pov, date, location",root_narrative_tone_style_guide_1994
High,MissingFields,root_pastepoint_cues_ch5-ch6-s01,"Missing: chapter, pov, date, location",root_pastepoint_cues_ch5-ch6
High,MissingFields,root_paste_verification_strings-s01,"Missing: chapter, pov, date, location",root_paste_verification_strings
High,MissingFields,root_postmerge_tasks-s01,"Missing: chapter, pov, date, location",root_postmerge_tasks
High,MissingFields,root_practical_paste_steps-s01,"Missing: chapter, pov, date, location",root_practical_paste_steps
High,MissingFields,root_prompts_conflict_map-s01,"Missing: chapter, pov, date, location",root_prompts_conflict_map
High,MissingFields,root_prompts_validation_report_ch5-ch6-s01,"Missing: chapter, pov, date, location",root_prompts_validation_report_ch5-ch6
High,MissingFields,root_pr_template_ch5-ch6_merge-s01,"Missing: chapter, pov, date, location",root_pr_template_ch5-ch6_merge
High,MissingFields,root_readme_badge_block-s01,"Missing: chapter, pov, date, location",root_readme_badge_block
High,MissingFields,root_readme_toc_ch5-ch6_insert-s01,"Missing: chapter, pov, date, location",root_readme_toc_ch5-ch6_insert
High,MissingFields,root_readme_toc_ch7_insert-s01,"Missing: chapter, pov, date, location",root_readme_toc_ch7_insert
High,MissingFields,root_readthrough_script_ch5-ch6-s01,"Missing: chapter, pov, location",root_readthrough_script_ch5-ch6
High,MissingFields,root_redlines_before_after_ch5-ch6-s01,"Missing: chapter, pov, date, location",root_redlines_before_after_ch5-ch6
High,MissingFields,root_rollback_plan_ch5-ch6-s01,"Missing: chapter, pov, date, location",root_rollback_plan_ch5-ch6
High,MissingFields,root_rollout_plan_ch5-ch6-s01,"Missing: chapter, pov, date, location",root_rollout_plan_ch5-ch6
High,MissingFields,root_sample_pr_body_ch5-ch6-s01,"Missing: chapter, pov, date, location",root_sample_pr_body_ch5-ch6
High,MissingFields,root_scoring_tables_ch5-ch6-s01,"Missing: chapter, pov, date, location",root_scoring_tables_ch5-ch6
High,MissingFields,root_scripting_pseudocode_ch6_endings-s01,"Missing: chapter, pov, date, location",root_scripting_pseudocode_ch6_endings
High,MissingFields,root_sec-03_ch5-ch6_anchors-s01,"Missing: chapter, pov, date, location",root_sec-03_ch5-ch6_anchors
High,MissingFields,root_sec-03_ch5_narrative_paste-s01,"Missing: chapter, pov, date, location",root_sec-03_ch5_narrative_paste
High,MissingFields,root_sec-03_ch6_narrative_paste-s01,"Missing: chapter, pov, date, location",root_sec-03_ch6_narrative_paste
High,MissingFields,root_sec-03_ch7_narrative_paste-s01,"Missing: chapter, pov, date, location",root_sec-03_ch7_narrative_paste
High,MissingFields,root_sec-03_narrative_ch5-ch6_merge-s01,"Missing: chapter, pov, date, location",root_sec-03_narrative_ch5-ch6_merge
High,MissingFields,root_sec-05_anchors-s01,"Missing: chapter, pov, date, location",root_sec-05_anchors
High,MissingFields,root_sec-05_insert_points-s01,"Missing: chapter, pov, date, location",root_sec-05_insert_points
High,MissingFields,root_sec-05_systems_merge_additions_ch5-ch6-s01,"Missing: chapter, pov, date, location",root_sec-05_systems_merge_additions_ch5-ch6
High,MissingFields,root_sec-06-07_world_ui_ch5-ch6_merge-s01,"Missing: chapter, pov, date, location",root_sec-06-07_world_ui_ch5-ch6_merge
High,MissingFields,root_sec-06-07_world_ui_ch7_merge-s01,"Missing: chapter, pov, date, location",root_sec-06-07_world_ui_ch7_merge
High,MissingFields,root_sec-06_anchors-s01,"Missing: chapter, pov, date, location",root_sec-06_anchors
High,MissingFields,root_sec-07_anchors-s01,"Missing: chapter, pov, date, location",root_sec-07_anchors
High,MissingFields,root_sec-07_ui_prompts_ch7_extensions-s01,"Missing: chapter, pov, date, location",root_sec-07_ui_prompts_ch7_extensions
High,MissingFields,root_sec-07_ui_prompts_master-s01,"Missing: chapter, pov, date, location",root_sec-07_ui_prompts_master
High,MissingFields,root_sed_snippets_ch5-ch6-s01,"Missing: chapter, pov, date, location",root_sed_snippets_ch5-ch6
High,MissingFields,root_systems_snippet_replacements-s01,"Missing: chapter, pov, date, location",root_systems_snippet_replacements
High,MissingFields,root_timeline_continuity_ch4-ch6-s01,"Missing: chapter, pov, date, location",root_timeline_continuity_ch4-ch6
High,MissingFields,root_toc_inserts_ch5-ch6-s01,"Missing: chapter, pov, date, location",root_toc_inserts_ch5-ch6
High,MissingFields,root_ui_copy_snippets_ch5-ch6-s01,"Missing: chapter, pov, date, location",root_ui_copy_snippets_ch5-ch6
High,MissingFields,root_ui_wireflows_text_ch6-s01,"Missing: chapter, pov, date, location",root_ui_wireflows_text_ch6
High,MissingFields,root_validation_grep_patterns-s01,"Missing: chapter, pov, date, location",root_validation_grep_patterns
High,MissingFields,root_windows_ps_findreplace_snippets_ch5-ch6-s01,"Missing: chapter, pov, date, location",root_windows_ps_findreplace_snippets_ch5-ch6
High,MissingFields,sec-01-ch5-6_integration_plan-s01,"Missing: chapter, pov, date, location",sec-01-ch5-6_integration_plan
High,MissingFields,sec-02-ch5-6_master_flags_matrix-s01,"Missing: chapter, pov, date, location",sec-02-ch5-6_master_flags_matrix
High,MissingFields,sec-03-ch2_avery_section-s01,"Missing: chapter, pov, date, location",sec-03-ch2_avery_section
High,MissingFields,sec-03-ch2_clara_kadath_section-s01,"Missing: chapter, pov, date, location",sec-03-ch2_clara_kadath_section
High,MissingFields,sec-03-ch3_narrative_sections-s01,"Missing: chapter, pov, date, location",sec-03-ch3_narrative_sections
High,MissingFields,sec-03-ch4_narrative-s01,"Missing: chapter, pov, date, location",sec-03-ch4_narrative
High,MissingFields,sec-03-ch5-6_narrative_deepdlamp_insert-s01,"Missing: chapter, pov, date, location",sec-03-ch5-6_narrative_deepdlamp_insert
High,MissingFields,sec-03-ch5_dlamp_betsy_narrative-s01,"Missing: chapter, pov, date, location",sec-03-ch5_dlamp_betsy_narrative
High,MissingFields,sec-03-ch5_rework_narrative-s01,"Missing: chapter, pov, date, location",sec-03-ch5_rework_narrative
High,MissingFields,sec-03-ch6_beatsheet_raid-s01,"Missing: chapter, pov, date, location",sec-03-ch6_beatsheet_raid
High,MissingFields,sec-03-ch6_epilogue-s01,"Missing: chapter, pov, date, location",sec-03-ch6_epilogue
High,MissingFields,sec-03_3.4_synopsis_prologues_add-s01,"Missing: chapter, pov, date, location",sec-03_3.4_synopsis_prologues_add
High,MissingFields,sec-03_3.5_ch1_simplecuriosity_add-s01,"Missing: chapter, pov, location",sec-03_3.5_ch1_simplecuriosity_add
High,MissingFields,sec-04-ch6_lore_splinter_of_azathoth-s01,"Missing: chapter, pov, date, location",sec-04-ch6_lore_splinter_of_azathoth
High,MissingFields,sec-04_ch1_integration_add-s01,"Missing: chapter, pov, date, location",sec-04_ch1_integration_add
High,MissingFields,sec-05-ch2_avery_systems_additions-s01,"Missing: chapter, pov, date, location",sec-05-ch2_avery_systems_additions
High,MissingFields,sec-05-ch2_systems_additions-s01,"Missing: chapter, pov, date, location",sec-05-ch2_systems_additions
High,MissingFields,sec-05-ch3_fear_meter_spec-s01,"Missing: chapter, pov, date, location",sec-05-ch3_fear_meter_spec
High,MissingFields,sec-05-ch3_systems_additions-s01,"Missing: chapter, pov, date, location",sec-05-ch3_systems_additions
High,MissingFields,sec-05-ch4_boss_systems-s01,"Missing: chapter, pov, date, location",sec-05-ch4_boss_systems
High,MissingFields,sec-05-ch4_systems-s01,"Missing: chapter, pov, date, location",sec-05-ch4_systems
High,MissingFields,sec-05-ch5-6_enemies_starvampire-s01,"Missing: chapter, pov, date, location",sec-05-ch5-6_enemies_starvampire
High,MissingFields,sec-05-ch5-6_rogue_ops_comms_sop-s01,"Missing: chapter, pov, date, location",sec-05-ch5-6_rogue_ops_comms_sop
High,MissingFields,sec-05-ch5-6_vehicle_o2_fuel_systems-s01,"Missing: chapter, pov, date, location",sec-05-ch5-6_vehicle_o2_fuel_systems
High,MissingFields,sec-05-ch5_dlamp_betsy_systems-s01,"Missing: chapter, pov, date, location",sec-05-ch5_dlamp_betsy_systems
High,MissingFields,sec-05-ch5_systems_rework-s01,"Missing: chapter, pov, date, location",sec-05-ch5_systems_rework
High,MissingFields,sec-05-ch6_afteraction_report_spec-s01,"Missing: chapter, pov, date, location",sec-05-ch6_afteraction_report_spec
High,MissingFields,sec-05-ch6_ai_behavior_fsm-s01,"Missing: chapter, pov, date, location",sec-05-ch6_ai_behavior_fsm
High,MissingFields,sec-05-ch6_blueonblue_detection-s01,"Missing: chapter, pov, date, location",sec-05-ch6_blueonblue_detection
High,MissingFields,sec-05-ch6_combat_tuning_params-s01,"Missing: chapter, pov, date, location",sec-05-ch6_combat_tuning_params
High,MissingFields,sec-05-ch6_enemy_resist_interrupt_table-s01,"Missing: chapter, pov, date, location",sec-05-ch6_enemy_resist_interrupt_table
High,MissingFields,sec-05-ch6_loadout_guide-s01,"Missing: chapter, pov, date, location",sec-05-ch6_loadout_guide
High,MissingFields,sec-05-ch6_raid_roe-s01,"Missing: chapter, pov, date, location",sec-05-ch6_raid_roe
High,MissingFields,sec-05-ch6_splinter_vault_mechanics-s01,"Missing: chapter, pov, date, location",sec-05-ch6_splinter_vault_mechanics
High,MissingFields,sec-05-ch6_systems-s01,"Missing: chapter, pov, date, location",sec-05-ch6_systems
High,MissingFields,sec-05-deputy_name_randomizer_spec-s01,"Missing: chapter, pov, date, location",sec-05-deputy_name_randomizer_spec
High,MissingFields,sec-05_ch1_flags_data_add-s01,"Missing: chapter, pov, date, location",sec-05_ch1_flags_data_add
High,MissingFields,sec-06-ch2_avery_world_content-s01,"Missing: chapter, pov, date, location",sec-06-ch2_avery_world_content
High,MissingFields,sec-06-ch3_world_content-s01,"Missing: chapter, pov, date, location",sec-06-ch3_world_content
High,MissingFields,sec-06-ch4_world_content-s01,"Missing: chapter, pov, date, location",sec-06-ch4_world_content
High,MissingFields,sec-06-ch5-6_callsigns_and_nodes-s01,"Missing: chapter, pov, date, location",sec-06-ch5-6_callsigns_and_nodes
High,MissingFields,sec-06-ch5-6_ironhighway_routebook-s01,"Missing: chapter, pov, date, location",sec-06-ch5-6_ironhighway_routebook
High,MissingFields,sec-06-ch5-6_world_dlamp_ironhighway-s01,"Missing: chapter, pov, date, location",sec-06-ch5-6_world_dlamp_ironhighway
High,MissingFields,sec-06-ch5_world_content-s01,"Missing: chapter, pov, date, location",sec-06-ch5_world_content
High,MissingFields,sec-06-ch6_ascii_map-s01,"Missing: chapter, pov, date, location",sec-06-ch6_ascii_map
High,MissingFields,sec-06-ch6_route_encounter_tables-s01,"Missing: chapter, pov, date, location",sec-06-ch6_route_encounter_tables
High,MissingFields,sec-06-ch6_srs_secret_annex_world-s01,"Missing: chapter, pov, date, location",sec-06-ch6_srs_secret_annex_world
High,MissingFields,sec-06-ch6_stealth_breaker_cameraloops-s01,"Missing: chapter, pov, date, location",sec-06-ch6_stealth_breaker_cameraloops
High,MissingFields,sec-06_ch1_world_layouts_add-s01,"Missing: chapter, pov, location",sec-06_ch1_world_layouts_add
High,MissingFields,sec-07-ch2_avery_ui_prompts-s01,"Missing: chapter, pov, date, location",sec-07-ch2_avery_ui_prompts
High,MissingFields,sec-07-ch3_ui_prompts-s01,"Missing: chapter, pov, date, location",sec-07-ch3_ui_prompts
High,MissingFields,sec-07-ch4_ui_spell_equip-s01,"Missing: chapter, pov, date, location",sec-07-ch4_ui_spell_equip
High,MissingFields,sec-07-ch5-6_ui_prompts_consolidated-s01,"Missing: chapter, pov, date, location",sec-07-ch5-6_ui_prompts_consolidated
High,MissingFields,sec-07-ch5_ui_prompts-s01,"Missing: chapter, pov, date, location",sec-07-ch5_ui_prompts
High,MissingFields,sec-07-ch6_prompts_verification-s01,"Missing: chapter, pov, date, location",sec-07-ch6_prompts_verification
High,MissingFields,sec-07-ch6_raid_ui_prompts-s01,"Missing: chapter, pov, date, location",sec-07-ch6_raid_ui_prompts
High,MissingFields,sec-07-ch6_ui_flow-s01,"Missing: chapter, pov, date, location",sec-07-ch6_ui_flow
High,MissingFields,sec-07_ch1_medstat_notes_add-s01,"Missing: chapter, pov, location",sec-07_ch1_medstat_notes_add
High,MissingFields,sec-08-ch5-6_audio_soundscape-s01,"Missing: chapter, pov, date, location",sec-08-ch5-6_audio_soundscape
High,MissingFields,ch6-1994,"Missing: chapter, pov, location",sec-09-period_audit_ch5-ch6_1994
High,MissingFields,tdd_ch1_device_hooks_add-s01,"Missing: chapter, pov, date, location",tdd_ch1_device_hooks_add
High,MissingFields,update_log-s01,"Missing: chapter, pov, location",update_log
High,MissingFields,glossary_1994-s01,"Missing: chapter, pov, location",glossary_1994
High,MissingFields,period_check_core_terms_1994-s01,"Missing: chapter, pov, location",period_check_core_terms_1994
High,MissingFields,refs_seed_1994-s01,"Missing: chapter, pov, location",refs_seed_1994
High,MissingFields,ch6-raid-rules-s01,"Missing: chapter, pov, date, location",ch6-raid-rules
High,MissingFields,app_checklist-s01,"Missing: chapter, pov, date, location",app_checklist
High,MissingFields,branding-s01,"Missing: chapter, pov, date, location",branding
